Channel              :,CH1
148,3200.000000
149,3200.000000
150,3200.000000
151,3200.000000
152,3200.000000
153,3200.000000
154,3200.000000
155,3200.000000
156,3200.000000
157,3200.000000
158,3200.000000
159,3200.000000
160,3200.000000
161,3200.000000
162,3200.000000
163,3200.000000
164,3200.000000
165,3200.000000
166,3200.000000
167,3200.000000
168,3200.000000
169,3200.000000
170,3200.000000
171,3200.000000
172,3200.000000
173,3200.000000
174,3200.000000
175,3200.000000
176,3200.000000
177,3200.000000
178,3200.000000
179,3200.000000
180,3200.000000
181,3200.000000
182,3200.000000
183,3200.000000
184,3200.000000
185,3200.000000
186,3200.000000
187,3200.000000
188,3200.000000
189,3200.000000
190,3200.000000
191,3200.000000
192,3200.000000
193,3200.000000
194,3200.000000
195,3200.000000
196,3200.000000
197,3200.000000
198,3200.000000
199,3200.000000
200,3200.000000
201,3200.000000
202,3200.000000
203,3200.000000
204,3200.000000
205,3200.000000
206,3200.000000
207,3200.000000
208,3200.000000
209,3200.000000
210,3200.000000
211,3200.000000
212,3200.000000
213,3200.000000
214,3200.000000
215,3200.000000
216,3200.000000
217,3200.000000
218,3200.000000
219,3200.000000
220,3200.000000
221,3200.000000
222,3200.000000
223,3200.000000
224,3200.000000
225,3200.000000
226,3200.000000
227,3200.000000
228,3200.000000
229,3200.000000
230,3200.000000
231,3200.000000
232,3200.000000
233,3200.000000
234,3200.000000
235,3200.000000
236,3200.000000
237,3200.000000
238,3200.000000
239,3200.000000
240,3200.000000
241,3200.000000
242,3200.000000
243,3200.000000
244,3200.000000
245,3200.000000
246,3200.000000
247,3200.000000
248,3200.000000
249,3200.000000
250,3200.000000
251,3200.000000
252,3200.000000
253,3200.000000
254,3200.000000
255,3200.000000
256,3200.000000
257,3200.000000
258,3200.000000
259,3200.000000
260,3200.000000
261,3200.000000
262,3200.000000
263,3200.000000
264,3200.000000
265,3200.000000
266,3200.000000
267,3200.000000
268,3200.000000
269,3200.000000
270,3200.000000
271,3200.000000
272,3200.000000
273,3200.000000
274,3200.000000
275,3200.000000
276,3200.000000
277,3200.000000
278,3200.000000
279,3200.000000
280,3200.000000
281,3200.000000
282,3200.000000
283,3200.000000
284,3200.000000
285,3200.000000
286,3200.000000
287,3200.000000
288,3200.000000
289,3200.000000
290,3200.000000
291,3200.000000
292,3200.000000
293,3200.000000
294,3200.000000
295,3200.000000
296,3200.000000
297,3200.000000
298,3200.000000
299,3200.000000
300,3200.000000
301,3200.000000
302,3200.000000
303,3200.000000
304,3200.000000
305,3200.000000
306,3200.000000
307,3200.000000
308,3200.000000
309,3200.000000
310,3200.000000
311,3200.000000
312,3200.000000
313,3200.000000
314,3200.000000
315,3200.000000
316,3200.000000
317,3200.000000
318,3200.000000
319,3200.000000
320,3200.000000
321,3200.000000
322,3200.000000
323,3200.000000
324,3200.000000
325,3200.000000
326,3200.000000
327,3200.000000
328,3200.000000
329,3200.000000
330,3200.000000
331,3200.000000
332,3200.000000
333,3200.000000
334,3200.000000
335,3200.000000
336,3200.000000
337,3200.000000
338,3200.000000
339,3200.000000
340,3200.000000
341,3200.000000
342,3200.000000
343,3200.000000
344,3200.000000
345,3200.000000
346,3200.000000
347,3200.000000
348,3200.000000
349,3200.000000
350,3200.000000
351,3200.000000
352,3200.000000
353,3200.000000
354,3200.000000
355,3200.000000
356,3200.000000
357,3200.000000
358,3200.000000
359,3200.000000
360,3200.000000
361,3200.000000
362,3200.000000
363,3200.000000
364,3200.000000
365,3200.000000
366,3200.000000
367,3200.000000
368,3200.000000
369,3200.000000
370,3200.000000
371,3200.000000
372,3200.000000
373,3200.000000
374,3200.000000
375,3200.000000
376,3200.000000
377,3200.000000
378,3200.000000
379,3200.000000
380,3200.000000
381,3200.000000
382,3200.000000
383,3200.000000
384,3200.000000
385,3200.000000
386,3200.000000
387,3200.000000
388,3200.000000
389,3200.000000
390,3200.000000
391,3200.000000
392,3200.000000
393,3200.000000
394,3200.000000
395,3200.000000
396,3200.000000
397,3200.000000
398,3200.000000
399,3200.000000
400,3200.000000
401,3200.000000
402,3200.000000
403,3200.000000
404,3200.000000
405,3200.000000
406,3200.000000
407,3200.000000
408,3200.000000
409,3200.000000
410,3200.000000
411,3200.000000
412,3200.000000
413,3200.000000
414,3200.000000
415,3200.000000
416,3200.000000
417,3200.000000
418,3200.000000
419,3200.000000
420,3200.000000
421,3200.000000
422,3200.000000
423,3200.000000
424,3200.000000
425,3200.000000
426,3200.000000
427,3200.000000
428,3200.000000
429,3200.000000
430,3200.000000
431,3200.000000
432,3200.000000
433,3200.000000
434,3200.000000
435,3200.000000
436,3200.000000
437,3200.000000
438,3200.000000
439,3200.000000
440,3200.000000
441,3200.000000
442,3200.000000
443,3200.000000
444,3200.000000
445,3200.000000
446,3200.000000
447,3200.000000
448,3200.000000
449,3200.000000
450,3200.000000
451,3200.000000
452,3200.000000
453,3200.000000
454,3200.000000
455,3200.000000
456,3200.000000
457,3200.000000
458,3200.000000
459,3200.000000
460,3200.000000
461,3200.000000
462,3200.000000
463,3200.000000
464,3200.000000
465,3200.000000
466,3200.000000
467,3200.000000
468,3200.000000
469,3200.000000
470,3200.000000
471,3200.000000
472,3200.000000
473,3200.000000
474,3200.000000
475,3200.000000
476,3200.000000
477,3200.000000
478,3200.000000
479,3200.000000
480,3200.000000
481,3200.000000
482,3200.000000
483,3200.000000
484,3200.000000
485,3200.000000
486,3200.000000
487,3200.000000
488,3200.000000
489,3200.000000
490,3200.000000
491,3200.000000
492,3200.000000
493,3200.000000
494,3200.000000
495,3200.000000
496,3200.000000
497,3200.000000
498,3200.000000
499,3200.000000
500,3200.000000
501,3200.000000
502,3200.000000
503,3200.000000
504,3200.000000
505,3200.000000
506,3200.000000
507,3200.000000
508,3200.000000
509,3200.000000
510,3200.000000
511,3200.000000
512,3200.000000
513,3200.000000
514,3200.000000
515,3200.000000
516,3200.000000
517,3200.000000
518,3200.000000
519,3200.000000
520,3200.000000
521,3200.000000
522,3200.000000
523,3200.000000
524,3200.000000
525,3200.000000
526,3200.000000
527,3200.000000
528,3200.000000
529,3200.000000
530,3200.000000
531,3200.000000
532,3200.000000
533,3200.000000
534,3200.000000
535,3200.000000
536,3200.000000
537,3200.000000
538,3200.000000
539,3200.000000
540,3200.000000
541,3200.000000
542,3200.000000
543,3200.000000
544,3200.000000
545,3200.000000
546,3200.000000
547,3200.000000
548,3200.000000
549,3200.000000
550,3200.000000
551,3200.000000
552,3200.000000
553,3200.000000
554,3200.000000
555,3200.000000
556,3200.000000
557,3200.000000
558,3200.000000
559,3200.000000
560,3200.000000
561,3200.000000
562,3200.000000
563,3200.000000
564,3200.000000
565,3200.000000
566,3200.000000
567,3200.000000
568,3200.000000
569,3200.000000
570,3200.000000
571,3200.000000
572,3200.000000
573,3200.000000
574,3200.000000
575,3200.000000
576,3200.000000
577,3200.000000
578,3200.000000
579,3200.000000
580,3200.000000
581,3200.000000
582,3200.000000
583,3200.000000
584,3200.000000
585,3200.000000
586,3200.000000
587,3200.000000
588,3200.000000
589,3200.000000
590,3200.000000
591,3200.000000
592,3200.000000
593,3200.000000
594,3200.000000
595,3200.000000
596,3200.000000
597,3200.000000
598,3200.000000
599,3200.000000
600,3200.000000
601,3200.000000
602,3200.000000
603,3200.000000
604,3200.000000
605,3200.000000
606,3200.000000
607,3200.000000
608,3200.000000
609,3200.000000
610,3200.000000
611,3200.000000
612,3200.000000
613,3200.000000
614,3200.000000
615,3200.000000
616,3200.000000
617,3200.000000
618,3200.000000
619,3200.000000
620,3200.000000
621,3200.000000
622,3200.000000
623,3200.000000
624,3200.000000
625,3200.000000
626,3200.000000
627,3200.000000
628,3200.000000
629,3200.000000
630,3200.000000
631,3200.000000
632,3200.000000
633,3200.000000
634,3200.000000
635,3200.000000
636,3200.000000
637,3200.000000
638,3200.000000
639,3200.000000
640,3200.000000
641,3200.000000
642,3200.000000
643,3200.000000
644,3200.000000
645,3200.000000
646,3200.000000
647,3200.000000
648,3200.000000
649,3200.000000
650,3200.000000
651,3200.000000
652,3200.000000
653,3200.000000
654,3200.000000
655,3200.000000
656,3200.000000
657,3200.000000
658,3200.000000
659,3200.000000
660,3200.000000
661,3200.000000
662,3200.000000
663,3200.000000
664,3200.000000
665,3200.000000
666,3200.000000
667,3200.000000
668,3200.000000
669,3200.000000
670,3200.000000
671,3200.000000
672,3200.000000
673,3200.000000
674,3200.000000
675,3200.000000
676,3200.000000
677,3200.000000
678,3200.000000
679,3200.000000
680,3200.000000
681,3200.000000
682,3200.000000
683,3200.000000
684,3200.000000
685,3200.000000
686,3200.000000
687,3200.000000
688,3200.000000
689,3200.000000
690,3200.000000
691,3200.000000
692,3200.000000
693,3200.000000
694,3200.000000
695,3200.000000
696,3200.000000
697,3200.000000
698,3200.000000
699,3200.000000
700,3200.000000
701,3200.000000
702,3200.000000
703,3200.000000
704,3200.000000
705,3200.000000
706,3200.000000
707,3200.000000
708,3200.000000
709,3200.000000
710,3200.000000
711,3200.000000
712,3200.000000
713,3200.000000
714,3200.000000
715,3200.000000
716,3200.000000
717,3200.000000
718,3200.000000
719,3200.000000
720,3200.000000
721,3200.000000
722,3200.000000
723,3200.000000
724,3200.000000
725,3200.000000
726,3200.000000
727,3200.000000
728,3200.000000
729,3200.000000
730,3200.000000
731,3200.000000
732,3200.000000
733,3200.000000
734,3200.000000
735,3200.000000
736,3200.000000
737,3200.000000
738,3200.000000
739,3200.000000
740,3200.000000
741,3200.000000
742,3200.000000
743,3200.000000
744,3200.000000
745,3200.000000
746,3200.000000
747,3200.000000
748,3200.000000
749,3200.000000
750,3200.000000
751,3200.000000
752,3200.000000
753,3200.000000
754,3200.000000
755,3200.000000
756,3200.000000
757,3200.000000
758,3200.000000
759,3200.000000
760,3200.000000
761,3200.000000
762,3200.000000
763,3200.000000
764,3200.000000
765,3200.000000
766,3200.000000
767,3360.000000
768,3200.000000
769,3200.000000
770,3200.000000
771,3200.000000
772,3200.000000
773,3200.000000
774,3200.000000
775,3200.000000
776,3200.000000
777,3200.000000
778,3200.000000
779,3200.000000
780,3200.000000
781,3200.000000
782,3200.000000
783,3200.000000
784,3200.000000
785,3200.000000
786,3200.000000
787,3200.000000
788,3200.000000
789,3200.000000
790,3200.000000
791,3200.000000
792,3200.000000
793,3200.000000
794,3200.000000
795,3200.000000
796,3200.000000
797,3200.000000
798,3200.000000
799,3200.000000
800,3200.000000
801,3200.000000
802,3200.000000
803,3200.000000
804,3200.000000
805,3200.000000
806,3200.000000
807,3200.000000
808,3200.000000
809,3200.000000
810,3200.000000
811,3200.000000
812,3200.000000
813,3200.000000
814,3200.000000
815,3200.000000
816,3200.000000
817,3200.000000
818,3200.000000
819,3200.000000
820,3200.000000
821,3200.000000
822,3200.000000
823,3200.000000
824,3200.000000
825,3200.000000
826,3200.000000
827,3200.000000
828,3200.000000
829,3200.000000
830,3200.000000
831,3200.000000
832,3200.000000
833,3200.000000
834,3200.000000
835,3200.000000
836,3200.000000
837,3200.000000
838,3200.000000
839,3200.000000
840,3200.000000
841,3200.000000
842,3200.000000
843,3200.000000
844,3200.000000
845,3200.000000
846,3200.000000
847,3200.000000
848,3200.000000
849,3200.000000
850,3200.000000
851,3200.000000
852,3200.000000
853,3200.000000
854,3200.000000
855,3200.000000
856,3200.000000
857,3200.000000
858,3200.000000
859,3200.000000
860,3200.000000
861,3200.000000
862,3200.000000
863,3200.000000
864,3200.000000
865,3200.000000
866,3200.000000
867,3200.000000
868,3200.000000
869,3200.000000
870,3200.000000
871,3200.000000
872,3200.000000
873,3200.000000
874,3200.000000
875,3200.000000
876,3200.000000
877,3200.000000
878,3200.000000
879,3200.000000
880,3200.000000
881,3200.000000
882,3200.000000
883,3200.000000
884,3200.000000
885,3200.000000
886,3200.000000
887,3280.000000
888,3200.000000
889,3200.000000
890,3200.000000
891,3200.000000
892,3200.000000
893,3200.000000
894,3200.000000
895,3200.000000
896,3200.000000
897,3200.000000
898,3200.000000
899,3200.000000
900,3200.000000
901,3200.000000
902,3200.000000
903,3200.000000
904,3200.000000
905,3200.000000
906,3200.000000
907,3200.000000
908,3200.000000
909,3200.000000
910,3200.000000
911,3200.000000
912,3200.000000
913,3200.000000
914,3200.000000
915,3200.000000
916,3200.000000
917,3200.000000
918,3200.000000
919,3200.000000
920,3200.000000
921,3200.000000
922,3200.000000
923,3200.000000
924,3200.000000
925,3200.000000
926,3200.000000
927,3200.000000
928,3200.000000
929,3200.000000
930,3200.000000
931,3200.000000
932,3200.000000
933,3200.000000
934,3200.000000
935,3200.000000
936,3200.000000
937,3200.000000
938,3200.000000
939,3200.000000
940,3200.000000
941,3200.000000
942,3200.000000
943,3200.000000
944,3200.000000
945,3200.000000
946,3200.000000
947,3200.000000
948,3200.000000
949,3200.000000
950,3200.000000
951,3200.000000
952,3200.000000
953,3200.000000
954,3200.000000
955,3200.000000
956,3200.000000
957,3200.000000
958,3200.000000
959,3200.000000
960,3200.000000
961,3200.000000
962,3200.000000
963,3200.000000
964,3200.000000
965,3200.000000
966,3200.000000
967,3200.000000
968,3200.000000
969,3200.000000
970,3200.000000
971,3200.000000
972,3200.000000
973,3280.000000
974,3200.000000
975,3200.000000
976,3200.000000
977,3200.000000
978,3200.000000
979,3200.000000
980,3200.000000
981,3200.000000
982,3200.000000
983,3200.000000
984,3200.000000
985,3200.000000
986,3200.000000
987,3200.000000
988,3200.000000
989,3200.000000
990,3200.000000
991,3200.000000
992,3200.000000
993,3200.000000
994,3200.000000
995,3200.000000
996,3200.000000
997,3200.000000
998,3200.000000
999,3200.000000
1000,3200.000000
1001,3200.000000
1002,3200.000000
1003,3200.000000
1004,3200.000000
1005,3200.000000
1006,3200.000000
1007,3200.000000
1008,3200.000000
1009,3200.000000
1010,3200.000000
1011,3200.000000
1012,3200.000000
1013,3200.000000
1014,3200.000000
1015,3200.000000
1016,3200.000000
1017,3200.000000
1018,3200.000000
1019,3200.000000
1020,3200.000000
1021,3200.000000
1022,3200.000000
1023,3200.000000
1024,3120.000000
1025,3200.000000
1026,3200.000000
1027,3200.000000
1028,3200.000000
1029,3200.000000
1030,3200.000000
1031,3200.000000
1032,3200.000000
1033,3200.000000
1034,3200.000000
1035,3200.000000
1036,3200.000000
1037,3200.000000
1038,3200.000000
1039,3200.000000
1040,3200.000000
1041,3200.000000
1042,3200.000000
1043,3200.000000
1044,3200.000000
1045,3200.000000
1046,3200.000000
1047,3200.000000
1048,3200.000000
1049,3200.000000
1050,3200.000000
1051,3200.000000
1052,3200.000000
1053,3200.000000
1054,3200.000000
1055,3200.000000
1056,3200.000000
1057,3200.000000
1058,3200.000000
1059,3200.000000
1060,3200.000000
1061,3200.000000
1062,3200.000000
1063,3200.000000
1064,3200.000000
1065,3200.000000
1066,3200.000000
1067,3200.000000
1068,3200.000000
1069,3200.000000
1070,3200.000000
1071,3200.000000
1072,3200.000000
1073,3200.000000
1074,3200.000000
1075,3200.000000
1076,3200.000000
1077,3200.000000
1078,3200.000000
1079,3200.000000
1080,3200.000000
1081,3200.000000
1082,3200.000000
1083,3200.000000
1084,3200.000000
1085,3200.000000
1086,3200.000000
1087,3200.000000
1088,3200.000000
1089,3200.000000
1090,3200.000000
1091,3200.000000
1092,3200.000000
1093,3200.000000
1094,3200.000000
1095,3200.000000
1096,3200.000000
1097,3200.000000
1098,3200.000000
1099,3200.000000
1100,3200.000000
1101,3200.000000
1102,3200.000000
1103,3200.000000
1104,3120.000000
1105,3200.000000
1106,3200.000000
1107,3200.000000
1108,3200.000000
1109,3200.000000
1110,3200.000000
1111,3200.000000
1112,3200.000000
1113,3200.000000
1114,3200.000000
1115,3200.000000
1116,3200.000000
1117,3200.000000
1118,3200.000000
1119,3200.000000
1120,3200.000000
1121,3200.000000
1122,3200.000000
1123,3200.000000
1124,3200.000000
1125,3200.000000
1126,3200.000000
1127,3200.000000
1128,3200.000000
1129,3200.000000
1130,3200.000000
1131,3200.000000
1132,3200.000000
1133,3200.000000
1134,3200.000000
1135,3200.000000
1136,3200.000000
1137,3200.000000
1138,3200.000000
1139,3200.000000
1140,3200.000000
1141,3200.000000
1142,3200.000000
1143,3200.000000
1144,3200.000000
1145,3200.000000
1146,3200.000000
1147,3200.000000
1148,3200.000000
1149,3200.000000
1150,3200.000000
1151,3200.000000
1152,3200.000000
1153,3200.000000
1154,3200.000000
1155,3200.000000
1156,3200.000000
1157,3200.000000
1158,3200.000000
1159,3200.000000
1160,3200.000000
1161,3200.000000
1162,3200.000000
1163,3200.000000
1164,3200.000000
1165,3200.000000
1166,3200.000000
1167,3200.000000
1168,3200.000000
1169,3200.000000
1170,3200.000000
1171,3200.000000
1172,3200.000000
1173,3200.000000
1174,3200.000000
1175,3200.000000
1176,3200.000000
1177,3200.000000
1178,3200.000000
1179,3200.000000
1180,3200.000000
1181,3200.000000
1182,3200.000000
1183,3200.000000
1184,3200.000000
1185,3200.000000
1186,3200.000000
1187,3200.000000
1188,3200.000000
1189,3120.000000
1190,3200.000000
1191,3200.000000
1192,3200.000000
1193,3200.000000
1194,3200.000000
1195,3200.000000
1196,3200.000000
1197,3200.000000
1198,3200.000000
1199,3200.000000
1200,3200.000000
1201,3200.000000
1202,3200.000000
1203,3200.000000
1204,3200.000000
1205,3200.000000
1206,3200.000000
1207,3200.000000
1208,3200.000000
1209,3200.000000
1210,3200.000000
1211,3200.000000
1212,3200.000000
1213,3200.000000
1214,3200.000000
1215,3200.000000
1216,3200.000000
1217,3200.000000
1218,3200.000000
1219,3200.000000
1220,3200.000000
1221,3200.000000
1222,3200.000000
1223,3200.000000
1224,3200.000000
1225,3200.000000
1226,3200.000000
1227,3200.000000
1228,3200.000000
1229,3200.000000
1230,3200.000000
1231,3200.000000
1232,3200.000000
1233,3200.000000
1234,3200.000000
1235,3200.000000
1236,3200.000000
1237,3200.000000
1238,3200.000000
1239,3200.000000
1240,3200.000000
1241,3200.000000
1242,3200.000000
1243,3200.000000
1244,3200.000000
1245,3200.000000
1246,3200.000000
1247,3200.000000
1248,3200.000000
1249,3200.000000
1250,3200.000000
1251,3200.000000
1252,3200.000000
1253,3280.000000
1254,3200.000000
1255,3200.000000
1256,3200.000000
1257,3200.000000
1258,3200.000000
1259,3200.000000
1260,3200.000000
1261,3200.000000
1262,3200.000000
1263,3200.000000
1264,3200.000000
1265,3200.000000
1266,3200.000000
1267,3200.000000
1268,3200.000000
1269,3200.000000
1270,3200.000000
1271,3200.000000
1272,3200.000000
1273,3200.000000
1274,3200.000000
1275,3200.000000
1276,3200.000000
1277,3200.000000
1278,3200.000000
1279,3200.000000
1280,3200.000000
1281,3200.000000
1282,3200.000000
1283,3200.000000
1284,3200.000000
1285,3200.000000
1286,3200.000000
1287,3200.000000
1288,3200.000000
1289,3200.000000
1290,3200.000000
1291,3200.000000
1292,3200.000000
1293,3200.000000
1294,3200.000000
1295,3200.000000
1296,3200.000000
1297,3200.000000
1298,3200.000000
1299,3200.000000
1300,3200.000000
1301,3200.000000
1302,3200.000000
1303,3200.000000
1304,3200.000000
1305,3200.000000
1306,3200.000000
1307,3200.000000
1308,3200.000000
1309,3200.000000
1310,3200.000000
1311,3200.000000
1312,3200.000000
1313,3200.000000
1314,3200.000000
1315,3200.000000
1316,3200.000000
1317,3200.000000
1318,3200.000000
1319,3200.000000
1320,3200.000000
1321,3200.000000
1322,3200.000000
1323,3200.000000
1324,3200.000000
1325,3200.000000
1326,3200.000000
1327,3200.000000
1328,3200.000000
1329,3200.000000
1330,3200.000000
1331,3200.000000
1332,3200.000000
1333,3200.000000
1334,3200.000000
1335,3200.000000
1336,3200.000000
1337,3200.000000
1338,3200.000000
1339,3200.000000
1340,3200.000000
1341,3200.000000
1342,3200.000000
1343,3200.000000
1344,3200.000000
1345,3200.000000
1346,3200.000000
1347,3200.000000
1348,3200.000000
1349,3200.000000
1350,3200.000000
1351,3200.000000
1352,3200.000000
1353,3200.000000
1354,3200.000000
1355,3200.000000
1356,3200.000000
1357,3200.000000
1358,3200.000000
1359,3200.000000
1360,3200.000000
1361,3200.000000
1362,3200.000000
1363,3200.000000
1364,3200.000000
1365,3200.000000
1366,3200.000000
1367,3200.000000
1368,3200.000000
1369,3200.000000
1370,3200.000000
1371,3200.000000
1372,3200.000000
1373,3200.000000
1374,3200.000000
1375,3200.000000
1376,3200.000000
1377,3200.000000
1378,3200.000000
1379,3200.000000
1380,3200.000000
1381,3200.000000
1382,3200.000000
1383,3200.000000
1384,3200.000000
1385,3200.000000
1386,3200.000000
1387,3200.000000
1388,3200.000000
1389,3200.000000
1390,3200.000000
1391,3200.000000
1392,3200.000000
1393,3200.000000
1394,3200.000000
1395,3200.000000
1396,3200.000000
1397,3200.000000
1398,3200.000000
1399,3200.000000
1400,3200.000000
1401,3200.000000
1402,3200.000000
1403,3200.000000
1404,3200.000000
1405,3200.000000
1406,3200.000000
1407,3200.000000
1408,3200.000000
1409,3200.000000
1410,3200.000000
1411,3200.000000
1412,3200.000000
1413,3200.000000
1414,3200.000000
1415,3200.000000
1416,3200.000000
1417,3200.000000
1418,3200.000000
1419,3200.000000
1420,3200.000000
1421,3200.000000
1422,3200.000000
1423,3200.000000
1424,3200.000000
1425,3200.000000
1426,3200.000000
1427,3200.000000
1428,3200.000000
1429,3200.000000
1430,3200.000000
1431,3200.000000
1432,3200.000000
1433,3200.000000
1434,3200.000000
1435,3200.000000
1436,3200.000000
1437,3200.000000
1438,3200.000000
1439,3200.000000
1440,3200.000000
1441,3200.000000
1442,3200.000000
1443,3200.000000
1444,3200.000000
1445,3200.000000
1446,3200.000000
1447,3200.000000
1448,3200.000000
1449,3200.000000
1450,3200.000000
1451,3200.000000
1452,3200.000000
1453,3200.000000
1454,3200.000000
1455,3200.000000
1456,3200.000000
1457,3200.000000
1458,3200.000000
1459,3200.000000
1460,3200.000000
1461,3200.000000
1462,3200.000000
1463,3200.000000
1464,3200.000000
1465,3200.000000
1466,3200.000000
1467,3200.000000
1468,3200.000000
1469,3200.000000
1470,3200.000000
1471,3200.000000
1472,3200.000000
1473,3200.000000
1474,3200.000000
1475,3200.000000
1476,3200.000000
1477,3200.000000
1478,3200.000000
1479,3200.000000
1480,3200.000000
1481,3200.000000
1482,3200.000000
1483,3200.000000
1484,3200.000000
1485,3200.000000
1486,3200.000000
1487,3200.000000
1488,3200.000000
1489,3200.000000
1490,3200.000000
1491,3200.000000
1492,3200.000000
1493,3200.000000
1494,3200.000000
1495,3200.000000
1496,3200.000000
1497,3200.000000
1498,3200.000000
1499,3200.000000
1500,3120.000000
1501,3200.000000
1502,3200.000000
1503,3200.000000
1504,3200.000000
1505,3200.000000
1506,3200.000000
1507,3200.000000
1508,3200.000000
1509,3200.000000
1510,3200.000000
1511,3200.000000
1512,3200.000000
1513,3200.000000
1514,3200.000000
1515,3200.000000
1516,3200.000000
1517,3200.000000
1518,3200.000000
1519,3200.000000
1520,3200.000000
1521,3200.000000
1522,3200.000000
1523,3200.000000
1524,3200.000000
1525,3200.000000
1526,3200.000000
1527,3200.000000
1528,3200.000000
1529,3200.000000
1530,3200.000000
1531,3200.000000
1532,3200.000000
1533,3200.000000
1534,3200.000000
1535,3200.000000
1536,3200.000000
1537,3200.000000
1538,3200.000000
1539,3200.000000
1540,3200.000000
1541,3200.000000
1542,3200.000000
1543,3200.000000
1544,3200.000000
1545,3200.000000
1546,3200.000000
1547,3200.000000
1548,3200.000000
1549,3200.000000
1550,3200.000000
1551,3200.000000
1552,3200.000000
1553,3200.000000
1554,3200.000000
1555,3200.000000
1556,3200.000000
1557,3200.000000
1558,3200.000000
1559,3200.000000
1560,3200.000000
1561,3200.000000
1562,3200.000000
1563,3200.000000
1564,3200.000000
1565,3200.000000
1566,3200.000000
1567,3200.000000
1568,3200.000000
1569,3200.000000
1570,3200.000000
1571,3200.000000
1572,3200.000000
1573,3200.000000
1574,3200.000000
1575,3200.000000
1576,3200.000000
1577,3200.000000
1578,3200.000000
1579,3200.000000
1580,3200.000000
1581,3200.000000
1582,3200.000000
1583,3200.000000
1584,3200.000000
1585,3200.000000
1586,3200.000000
1587,3200.000000
1588,3200.000000
1589,3200.000000
1590,3200.000000
1591,3200.000000
1592,3200.000000
1593,3200.000000
1594,3200.000000
1595,3200.000000
1596,3200.000000
1597,3200.000000
1598,3200.000000
1599,3200.000000
1600,3200.000000
1601,3200.000000
1602,3200.000000
1603,3200.000000
1604,3200.000000
1605,3200.000000
1606,3200.000000
1607,3200.000000
1608,3200.000000
1609,3200.000000
1610,3200.000000
1611,3200.000000
1612,3200.000000
1613,3200.000000
1614,3200.000000
1615,3200.000000
1616,3200.000000
1617,3200.000000
1618,3200.000000
1619,3200.000000
1620,3200.000000
1621,3200.000000
1622,3200.000000
1623,3200.000000
1624,3200.000000
1625,3200.000000
1626,3200.000000
1627,3200.000000
1628,3200.000000
1629,3200.000000
1630,3200.000000
1631,3200.000000
1632,3200.000000
1633,3200.000000
1634,3200.000000
1635,3200.000000
1636,3200.000000
1637,3200.000000
1638,3200.000000
1639,3200.000000
1640,3200.000000
1641,3200.000000
1642,3200.000000
1643,3200.000000
1644,3200.000000
1645,3200.000000
1646,3200.000000
1647,3200.000000
1648,3200.000000
1649,3200.000000
1650,3200.000000
1651,3200.000000
1652,3200.000000
1653,3200.000000
